,Content ID,Type,Datetime,Reaction Score,Category,Category Wise,,
1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,11/7/2020,0,Studying,Not in top 5,,
2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,6/17/2021,10,Studying,Not in top 5,Category Wise,In top 5
3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/18/2021,15,Studying,Not in top 5,,
4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,1/6/2021,0,Studying,Not in top 5,Row Labels,Sum of Reaction Score
5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,8/23/2020,30,Studying,Not in top 5,Jan,72221
6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,12/7/2020,35,Studying,Not in top 5,Feb,65896
7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,4/11/2021,70,Studying,Not in top 5,Mar,68105
8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,1/27/2021,5,Studying,Not in top 5,Apr,68901
9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,4/1/2021,35,Studying,Not in top 5,May,76126
10,97522e57-d9ab-4bd6-97bf-c24d952602d2,love,8/4/2020,65,Studying,Not in top 5,Jun,70330
11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,11/7/2020,20,Studying,Not in top 5,Jul,71963
12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,11/2/2020,15,Studying,Not in top 5,Aug,72668
13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,11/1/2020,30,Studying,Not in top 5,Sep,71158
14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,10/7/2020,5,Studying,Not in top 5,Oct,73143
15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/3/2020,15,Studying,Not in top 5,Nov,71715
16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/24/2021,75,Studying,Not in top 5,Dec,70571
17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,9/23/2020,35,Studying,Not in top 5,Grand Total,852797
18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2/24/2021,20,Studying,Not in top 5,,
19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,5/22/2021,30,Studying,Not in top 5,,
20,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,1/31/2021,45,Studying,Not in top 5,,
21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,11/20/2020,35,Studying,Not in top 5,,
22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,4/11/2021,12,Studying,Not in top 5,,
23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,6/13/2021,50,Studying,Not in top 5,,
24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,4/11/2021,60,Studying,Not in top 5,,
25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,3/2/2021,12,Studying,Not in top 5,,
26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,6/27/2020,5,Studying,Not in top 5,,
27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,5/9/2021,5,Studying,Not in top 5,,
28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,8/4/2020,70,Studying,Not in top 5,,
29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,8/28/2020,75,Studying,Not in top 5,,
30,97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,8/25/2020,45,Studying,Not in top 5,,
31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,4/20/2021,15,Studying,Not in top 5,,
32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,3/7/2021,30,Studying,Not in top 5,,
33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,5/24/2021,20,Studying,Not in top 5,,
34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,1/24/2021,75,Studying,Not in top 5,,
35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,4/9/2021,0,Studying,Not in top 5,,
36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2/2/2021,75,Studying,Not in top 5,,
37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2/4/2021,30,Studying,Not in top 5,,
38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/9/2020,10,Studying,Not in top 5,,
39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,9/29/2020,15,Studying,Not in top 5,,
40,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,11/29/2020,10,Studying,Not in top 5,,
41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2/13/2021,70,Studying,Not in top 5,,
42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,7/14/2020,30,Studying,Not in top 5,,
43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,8/23/2020,20,Studying,Not in top 5,,
44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,5/10/2021,12,Studying,Not in top 5,,
45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,3/15/2021,5,Studying,Not in top 5,,
47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,6/25/2020,10,healthy eating,In top 5,,
48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,9/13/2020,45,healthy eating,In top 5,,
49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020,35,healthy eating,In top 5,,
50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2/11/2021,15,healthy eating,In top 5,,
51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,3/8/2021,5,healthy eating,In top 5,,
52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,3/28/2021,0,healthy eating,In top 5,,
53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,5/25/2021,5,healthy eating,In top 5,,
54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/15/2021,50,healthy eating,In top 5,,
55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,5/5/2021,65,healthy eating,In top 5,,
56,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,8/31/2020,65,healthy eating,In top 5,,
57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,6/16/2021,60,healthy eating,In top 5,,
58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,7/7/2020,20,healthy eating,In top 5,,
59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,8/20/2020,35,healthy eating,In top 5,,
60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,9/23/2020,65,healthy eating,In top 5,,
61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,3/24/2021,50,healthy eating,In top 5,,
63,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,12/7/2020,5,healthy eating,In top 5,,
64,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,8/3/2020,75,healthy eating,In top 5,,
65,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,1/10/2021,72,healthy eating,In top 5,,
66,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,9/20/2020,15,healthy eating,In top 5,,
67,230c4e4d-70c3-461d-b42c-ec09396efb3f,cherish,7/20/2020,70,healthy eating,In top 5,,
68,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/24/2020,72,healthy eating,In top 5,,
69,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/6/2021,30,healthy eating,In top 5,,
70,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,12/25/2020,60,healthy eating,In top 5,,
71,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/14/2021,50,healthy eating,In top 5,,
72,230c4e4d-70c3-461d-b42c-ec09396efb3f,like,6/5/2021,50,healthy eating,In top 5,,
73,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,11/18/2020,5,healthy eating,In top 5,,
74,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,5/9/2021,30,healthy eating,In top 5,,
75,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,5/11/2021,10,healthy eating,In top 5,,
76,230c4e4d-70c3-461d-b42c-ec09396efb3f,peeking,11/12/2020,35,healthy eating,In top 5,,
77,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,6/21/2020,60,healthy eating,In top 5,,
78,230c4e4d-70c3-461d-b42c-ec09396efb3f,super love,3/4/2021,75,healthy eating,In top 5,,
79,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,7/9/2020,70,healthy eating,In top 5,,
80,230c4e4d-70c3-461d-b42c-ec09396efb3f,hate,8/1/2020,5,healthy eating,In top 5,,
81,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,11/23/2020,10,healthy eating,In top 5,,
82,230c4e4d-70c3-461d-b42c-ec09396efb3f,scared,12/11/2020,15,healthy eating,In top 5,,
83,230c4e4d-70c3-461d-b42c-ec09396efb3f,dislike,4/23/2021,10,healthy eating,In top 5,,
84,230c4e4d-70c3-461d-b42c-ec09396efb3f,want,11/13/2020,70,healthy eating,In top 5,,
85,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,6/9/2021,30,healthy eating,In top 5,,
86,230c4e4d-70c3-461d-b42c-ec09396efb3f,love,10/29/2020,65,healthy eating,In top 5,,
87,230c4e4d-70c3-461d-b42c-ec09396efb3f,heart,5/14/2021,60,healthy eating,In top 5,,
88,230c4e4d-70c3-461d-b42c-ec09396efb3f,disgust,8/4/2020,0,healthy eating,In top 5,,
89,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,8/7/2020,72,healthy eating,In top 5,,
90,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,10/23/2020,72,healthy eating,In top 5,,
91,230c4e4d-70c3-461d-b42c-ec09396efb3f,adore,11/14/2020,72,healthy eating,In top 5,,
92,230c4e4d-70c3-461d-b42c-ec09396efb3f,worried,8/4/2020,12,healthy eating,In top 5,,
93,230c4e4d-70c3-461d-b42c-ec09396efb3f,interested,11/12/2020,30,healthy eating,In top 5,,
95,356fff80-da4d-4785-9f43-bc1261031dc6,worried,4/3/2021,12,technology,In top 5,,
96,356fff80-da4d-4785-9f43-bc1261031dc6,want,9/27/2020,70,technology,In top 5,,
97,356fff80-da4d-4785-9f43-bc1261031dc6,heart,10/27/2020,60,technology,In top 5,,
98,356fff80-da4d-4785-9f43-bc1261031dc6,scared,10/15/2020,15,technology,In top 5,,
99,356fff80-da4d-4785-9f43-bc1261031dc6,heart,5/7/2021,60,technology,In top 5,,
100,356fff80-da4d-4785-9f43-bc1261031dc6,hate,9/16/2020,5,technology,In top 5,,
101,356fff80-da4d-4785-9f43-bc1261031dc6,indifferent,10/29/2020,20,technology,In top 5,,
103,01ab84dd-6364-4236-abbb-3f237db77180,scared,5/24/2021,15,food,In top 5,,
105,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,2/25/2021,30,cooking,In top 5,,
106,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,hate,5/2/2021,5,cooking,In top 5,,
107,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,want,1/28/2021,70,cooking,In top 5,,
108,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,2/15/2021,35,cooking,In top 5,,
109,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,11/4/2020,10,cooking,In top 5,,
110,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,love,6/23/2020,65,cooking,In top 5,,
111,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,2/16/2021,70,cooking,In top 5,,
112,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,interested,1/3/2021,30,cooking,In top 5,,
113,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,11/25/2020,72,cooking,In top 5,,
114,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,12/3/2020,50,cooking,In top 5,,
115,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,like,5/22/2021,50,cooking,In top 5,,
116,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,cherish,1/18/2021,70,cooking,In top 5,,
117,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,1/6/2021,20,cooking,In top 5,,
118,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/14/2021,72,cooking,In top 5,,
119,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,worried,5/27/2021,12,cooking,In top 5,,
120,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,7/21/2020,35,cooking,In top 5,,
121,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,5/26/2021,10,cooking,In top 5,,
122,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,dislike,2/25/2021,10,cooking,In top 5,,
123,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,intrigued,12/7/2020,45,cooking,In top 5,,
124,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,indifferent,10/24/2020,20,cooking,In top 5,,
125,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,peeking,9/1/2020,35,cooking,In top 5,,
126,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,adore,5/10/2021,72,cooking,In top 5,,
128,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,2/12/2021,70,dogs,In top 5,,
129,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,4/28/2021,60,dogs,In top 5,,
130,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/24/2021,45,dogs,In top 5,,
131,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,3/18/2021,12,dogs,In top 5,,
132,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/14/2021,0,dogs,In top 5,,
133,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,12/23/2020,60,dogs,In top 5,,
134,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,5/21/2021,5,dogs,In top 5,,
135,3f8590c7-6ab2-4973-805a-90cdec355f05,like,3/28/2021,50,dogs,In top 5,,
136,3f8590c7-6ab2-4973-805a-90cdec355f05,peeking,9/16/2020,35,dogs,In top 5,,
137,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,11/8/2020,20,dogs,In top 5,,
138,3f8590c7-6ab2-4973-805a-90cdec355f05,heart,3/6/2021,60,dogs,In top 5,,
139,3f8590c7-6ab2-4973-805a-90cdec355f05,disgust,1/13/2021,0,dogs,In top 5,,
140,3f8590c7-6ab2-4973-805a-90cdec355f05,want,9/6/2020,70,dogs,In top 5,,
141,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/24/2020,30,dogs,In top 5,,
142,3f8590c7-6ab2-4973-805a-90cdec355f05,hate,2/7/2021,5,dogs,In top 5,,
143,3f8590c7-6ab2-4973-805a-90cdec355f05,intrigued,1/21/2021,45,dogs,In top 5,,
144,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,2/27/2021,10,dogs,In top 5,,
145,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,8/22/2020,12,dogs,In top 5,,
146,3f8590c7-6ab2-4973-805a-90cdec355f05,cherish,8/3/2020,70,dogs,In top 5,,
147,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,8/2/2020,15,dogs,In top 5,,
148,3f8590c7-6ab2-4973-805a-90cdec355f05,want,6/4/2021,70,dogs,In top 5,,
149,3f8590c7-6ab2-4973-805a-90cdec355f05,super love,10/21/2020,75,dogs,In top 5,,
150,3f8590c7-6ab2-4973-805a-90cdec355f05,dislike,12/26/2020,10,dogs,In top 5,,
151,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,3/2/2021,15,dogs,In top 5,,
152,3f8590c7-6ab2-4973-805a-90cdec355f05,indifferent,3/31/2021,20,dogs,In top 5,,
153,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,6/14/2021,30,dogs,In top 5,,
154,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,12/27/2020,15,dogs,In top 5,,
155,3f8590c7-6ab2-4973-805a-90cdec355f05,scared,2/11/2021,15,dogs,In top 5,,
156,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/7/2020,30,dogs,In top 5,,
157,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,12/28/2020,30,dogs,In top 5,,
158,3f8590c7-6ab2-4973-805a-90cdec355f05,interested,10/26/2020,30,dogs,In top 5,,
159,3f8590c7-6ab2-4973-805a-90cdec355f05,worried,9/26/2020,12,dogs,In top 5,,
